postcode,lsoa21cd,lsoa21nm,admin_district,codes_lsoa
B45 9SQ,E01009160,E05011164,Birmingham,E01009160
B43 7ER,E01009223,E05011159,Birmingham,E01009223
B31 4JU,E01009215,E05011152,Birmingham,E01009215
B18 5SE,E01009361,E05011168,Birmingham,E01009361
B26 1BT,E01008886,E05011169,Birmingham,E01008886
B76 2BW,E01009434,E05011180,Birmingham,E01009434
B21 9NX,E01009273,E05011142,Birmingham,E01009273
B24 0BY,E01009003,E05011135,Birmingham,E01009003
B33 8SD,E01009509,E05011185,Birmingham,E01009509
B5 7UW,E01008982,E05011134,Birmingham,E01008982
B29 7DE,E01009286,E05011128,Birmingham,E01009286
B28 0LF,E01009040,E05011141,Birmingham,E01009040
B15 2SL,E01033562,E05011134,Birmingham,E01033562
B72 1AQ,E01009003,E05011135,Birmingham,E01009003
B11 4EU,E01009392,E05011171,Birmingham,E01009392
B18 7DT,E01009345,E05011168,Birmingham,E01009345
B18 5NB,E01009358,E05011168,Birmingham,E01009358
B35 7LQ,E01009097,E05011132,Birmingham,E01009097
B29 7AU,E01009286,E05011128,Birmingham,E01009286
B23 6PL,E01009407,E05011173,Birmingham,E01009407
B8 3PD,E01009488,E05011120,Birmingham,E01009488
B26 3XA,E01009317,E05011166,Birmingham,E01009317
B44 9UP,E01009225,E05011159,Birmingham,E01009225
B20 2BJ,E01009355,E05011142,Birmingham,E01009355
B21 9JT,E01009270,E05011142,Birmingham,E01009270
B28 0TL,E01009042,E05011141,Birmingham,E01009042
B28 8LH,E01009016,E05011182,Birmingham,E01009016
B32 2PS,E01009256,E05011163,Birmingham,E01009256
B9 4UQ,E01034935,E05011126,Birmingham,E01034935
B21 9DD,E01009353,E05011142,Birmingham,E01009353
B72 1SH,E01009451,E05011178,Birmingham,E01009451
B20 2JF,E01009265,E05011143,Birmingham,E01009265
B29 5XZ,E01009500,E05011184,Birmingham,E01009500
B13 8EY,E01009184,E05011154,Birmingham,E01009184
B13 8JX,E01009184,E05011154,Birmingham,E01009184
B33 0DA,E01009301,E05011138,Birmingham,E01009301
B24 0JS,E01009011,E05011162,Birmingham,E01009011
B28 0PB,E01009039,E05011141,Birmingham,E01009039
B15 2QX,E01008992,E05011134,Birmingham,E01008992
B26 3LZ,E01009320,E05011166,Birmingham,E01009320
B13 0NX,E01008968,E05011124,Birmingham,E01008968
B12 0NS,E01034946,E05011126,Birmingham,E01034946
B23 6UH,E01009007,E05011135,Birmingham,E01009007
B20 3AF,E01034918,E05011121,Birmingham,E01034918
B13 8LN,E01009183,E05011154,Birmingham,E01009183
B20 1BE,E01009264,E05011143,Birmingham,E01009264
B24 0AR,E01009003,E05011135,Birmingham,E01009003
B32 3BB,E01008919,E05011123,Birmingham,E01008919
B30 1BH,E01008962,E05011129,Birmingham,E01008962
B19 2RA,E01008909,E05011156,Birmingham,E01008909
B16 9LN,E01008989,E05011157,Birmingham,E01008989
B29 4NR,E01009504,E05011184,Birmingham,E01009504
B20 2NR,E01009262,E05011143,Birmingham,E01009262
B8 2TH,E01009487,E05011183,Birmingham,E01009487
B18 7DW,E01009345,E05011168,Birmingham,E01009345
B25 8SG,E01008881,E05011186,Birmingham,E01008881
B13 9AE,E01033648,E05011154,Birmingham,E01033648
B21 9AJ,E01034921,E05011142,Birmingham,E01034921
B13 8EB,E01009184,E05011154,Birmingham,E01009184
B8 2HL,E01009486,E05011183,Birmingham,E01009486
B8 2BX,E01009478,E05011183,Birmingham,E01009478
B17 0TL,E01009077,E05011144,Birmingham,E01009077
B17 8JH,E01009138,E05011157,Birmingham,E01009138
B45 8ED,E01009171,E05011164,Birmingham,E01009171
B30 1JS,E01009281,E05011129,Birmingham,E01009281
B76 9AP,E01009441,E05011180,Birmingham,E01009441
B11 1PA,E01033650,E05011170,Birmingham,E01033650
B10 0HU,E01009337,E05011167,Birmingham,E01009337
B31 3PS,E01009217,E05011152,Birmingham,E01009217
B75 5QF,E01009415,E05011175,Birmingham,E01009415
B29 7RP,E01009293,E05011128,Birmingham,E01009293
B31 1RX,E01009499,E05011119,Birmingham,E01009499
B1 1RH,E01033615,E05011151,Birmingham,E01033615
B21 8BG,E01009271,E05011147,Birmingham,E01009271
B26 1TQ,E01008886,E05011169,Birmingham,E01008886
B5 4TN,E01033567,E05011126,Birmingham,E01033567
B34 6DD,E01009087,E05011131,Birmingham,E01009087
B29 7DG,E01009286,E05011128,Birmingham,E01009286
B34 7RB,E01009306,E05011165,Birmingham,E01009306
B32 1ST,E01009259,E05011163,Birmingham,E01009259
B19 2AT,E01034925,E05011153,Birmingham,E01034925
B19 1LP,E01009059,E05011153,Birmingham,E01009059
B45 8EL,E01009171,E05011164,Birmingham,E01009171
B45 0DA,E01034943,E05011136,Birmingham,E01034943
B17 8JR,E01009138,E05011157,Birmingham,E01009138
B20 2DB,E01009056,E05011125,Birmingham,E01009056
B36 8RE,E01009079,E05011131,Birmingham,E01009079
B36 8BW,E01009083,E05011131,Birmingham,E01009083
B38 8XA,E01009117,E05011148,Birmingham,E01009117
B44 0RJ,E01009128,E05011150,Birmingham,E01009128
B75 6QL,E01009426,E05011177,Birmingham,E01009426
B29 5QX,E01009501,E05011184,Birmingham,E01009501
B32 1PF,E01009249,E05011163,Birmingham,E01009249
B25 8LJ,E01008883,E05011169,Birmingham,E01008883
B72 1QL,E01009449,E05011178,Birmingham,E01009449
B26 2QG,E01009323,E05011166,Birmingham,E01009323
B13 0PX,E01008936,E05011124,Birmingham,E01008936
B44 0AX,E01009136,E05011161,Birmingham,E01009136
B45 9NJ,E01009167,E05011164,Birmingham,E01009167
B73 5BH,E01009474,E05011179,Birmingham,E01009474
B20 1HD,E01009276,E05011143,Birmingham,E01009276
B75 6EU,E01009444,E05011177,Birmingham,E01009444
B24 0LH,E01009098,E05011162,Birmingham,E01009098
B36 8HP,E01009086,E05011131,Birmingham,E01009086
B30 1DU,E01008959,E05011129,Birmingham,E01008959
B74 4QS,E01009422,E05011174,Birmingham,E01009422
B23 6QF,E01009006,E05011135,Birmingham,E01009006
B36 8UH,E01009082,E05011131,Birmingham,E01009082
B75 6AX,E01009444,E05011177,Birmingham,E01009444
B32 4LE,E01008925,E05011123,Birmingham,E01008925
B8 3JP,E01009485,E05011120,Birmingham,E01009485
B24 0GA,E01009100,E05011162,Birmingham,E01009100
B9 5DH,E01009344,E05011127,Birmingham,E01009344
B36 8HT,E01009086,E05011131,Birmingham,E01009086
B38 8XH,E01009118,E05011148,Birmingham,E01009118
B23 6AH,E01033646,E05011173,Birmingham,E01033646
B21 0HA,E01009354,E05011147,Birmingham,E01009354
B24 8AP,E01009000,E05011139,Birmingham,E01009000
B13 9EP,E01009187,E05011154,Birmingham,E01009187
B14 6SG,E01008966,E05011130,Birmingham,E01008966
B18 4NF,E01009361,E05011168,Birmingham,E01009361
B3 1PB,E01033620,E05011168,Birmingham,E01033620
B73 6PG,E01009470,E05011179,Birmingham,E01009470
